question,expected_answer,source_document,answerable,expected_answer_keywords
How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",SOP_Onboarding.pdf,TRUE,None
How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",SOP_IT_Incident_Handling.pdf,TRUE,None
What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,SOP_Procurement.pdf,TRUE,None
What is the deadline to submit an expense claim?,Within 30 days of the expense date.,SOP_Expense_Reimbursement.pdf,TRUE,None
How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,SOP_Leave_Request.pdf,TRUE,None
How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",SOP_Data_Backup.pdf,TRUE,None
When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,SOP_Offboarding.pdf,TRUE,None
How many days per week can employees work from home?,Up to 2 days per week with manager approval.,Policy_WFH.docx,TRUE,None
Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,Policy_Data_Security.docx,TRUE,None
How many annual leave days do employees get?,"12 days per year, accruing monthly.",Policy_Leave.docx,TRUE,None
What are the password requirements?,"At least 12 characters with upper, lower, number, and symbol; changed every 90 days.",Policy_Password.docx,TRUE,None
What is the domestic meal per diem?,"IDR 250,000 per day.",Policy_Travel_Expense.docx,TRUE,None
What was Q3 2025 revenue?,"IDR 42.5 billion, up 12% over Q2 2025.",Report_Q3_2025_Performance.pdf,TRUE,None
What was the root cause of the October 2025 outage?,An expired TLS certificate on the API gateway.,Report_Incident_Postmortem.pdf,TRUE,None
What was the 2025 overall CSAT score?,"87%, up from 83% in 2024.",Report_CSAT_2025.pdf,TRUE,None
How many security incidents occurred in 2025?,"3 reportable incidents, none resulting in data loss.",Report_Security_Review_2025.pdf,TRUE,None
What was full-year 2025 revenue?,"IDR 158 billion, with a 14% net profit margin.",Report_Financial_FY2025.pdf,TRUE,None
What database does the platform use?,"PostgreSQL 15, with Redis for caching.",TECH_System_Architecture.txt,TRUE,None
How long are internal API tokens valid?,60 minutes.,TECH_Internal_API_Guide.txt,TRUE,None
What are the RTO and RPO?,RTO is 4 hours and RPO is 1 hour.,TECH_Disaster_Recovery.txt,TRUE,None
What is the API availability SLO?,99.9% per month.,TECH_Monitoring_Guide.txt,TRUE,None
How long are audit logs retained?,7 years.,TECH_Data_Retention.txt,TRUE,None
What unit-test coverage is required to merge code?,At least 80%.,TECH_CICD_Pipeline.txt,TRUE,None
How do I reset my password?,Raise a ticket to the IT Helpdesk via the portal; processed within 1x24 hours.,FAQ_IT_Support.txt,TRUE,None
When is payday?,The 25th of each month (prior working day if a holiday).,FAQ_Payroll.txt,TRUE,None
What is the mailbox size limit?,50 GB.,FAQ_Email_Calendar.txt,TRUE,None
What should I bring on my first day?,"A valid ID, NPWP (tax ID), and bank account details.",FAQ_Onboarding.txt,TRUE,None
Is there a home-office allowance?,"Yes, a one-time allowance of IDR 1,500,000.",FAQ_Remote_Work.txt,TRUE,None
What is the replacement fee for an access card?,"IDR 50,000.",FAQ_Facilities.txt,TRUE,None
How many new enterprise customers were added in Q3 2025?,"18, bringing the total to 214.",Report_Q3_2025_Performance.pdf,TRUE,None
How many dependents are covered by the company health insurance plan?,The company health insurance plan covers employees and up to three dependents.,FAQ_Benefits.txt,TRUE,up to 3 dependents | health insurance
What is the standard employee mailbox quota?,The standard mailbox quota is 50 GB.,FAQ_Email_Calendar.txt,TRUE,50 GB | mailbox quota
How much does a replacement employee access card cost?,"A replacement access card costs IDR 50,000.",FAQ_Facilities.txt,TRUE,"IDR 50,000 | replacement access card"
Where and when can employees find their payslips?,Payslips are available after the 25th in the HR portal under My Documents.,FAQ_HR.txt,TRUE,HR portal | My Documents | after the 25th
